,Unnamed: 0,seller_id,seller_zip_code_prefix,seller_city,seller_state,review_score,total_sales,total_revenue,favorite_product,average_frequency,multiple_sales,main_product_ratio,days_since_last,dropped_off,cluster,price_per_order
0,0,3442f8959a84dea7ee197c632cb2df15,13023,campinas,SP,3.0,3,218.7,sports_leisure,112.0,1,100.0,375,True,2,72.89999999999999
1,1,d1b65fc7debc3361ea86b5f14c68d2e2,13844,mogi guacu,SP,4.560975609756096,41,11703.069999999994,luggage_accessories,99.225,1,68.29268292682927,95,False,3,285.44073170731696
2,2,ce3ad9de960102d0677a81f5d0bb7b2d,20031,rio de janeiro,RJ,5.0,1,158.0,baby,735.0,0,100.0,41,False,1,158.0
3,3,c0f3eea2e14555b6faeea3dd58c1b1c3,4195,sao paulo,SP,5.0,1,79.99,sports_leisure,735.0,0,100.0,37,False,1,79.99
4,4,51a04a8a6bdcb23deccc82b0b80742cf,12914,braganca paulista,SP,1.0,1,167.99,electronics,735.0,0,100.0,299,False,1,167.99
5,5,c240c4061717ac1806ae6ee72be3533b,20920,rio de janeiro,RJ,4.0,1,59.9,food,735.0,0,100.0,124,False,1,59.9
6,6,e49c26c3edfa46d227d5121a6b6e4d37,55325,brejao,PE,4.416666666666667,36,3654.25,consoles_games,174.0,1,41.66666666666667,46,False,3,101.50694444444444
7,7,1b938a7ec6ac5061a66a3766e0e75f90,16304,penapolis,SP,4.242424242424242,33,3987.6000000000013,baby,112.8125,1,42.42424242424242,22,False,3,120.83636363636367
8,8,768a86e36ad6aae3d03ee3c6433d61df,1529,sao paulo,SP,4.647058823529412,17,587.46,toys,27.3125,1,58.82352941176471,17,False,3,34.5564705882353
9,9,ccc4bbb5f32a6ab2b7066a4130f114e3,80310,curitiba,PR,4.286458333333333,192,74004.62000000001,health_beauty,177.2984293193717,1,97.39583333333334,19,False,2,385.4407291666667
10,10,8cb7c5ddf41f4d506eba76e9a4702a25,75110,anapolis,GO,3.0,2,138.0,sports_leisure,71.0,1,100.0,142,True,2,69.0
11,11,a7a9b880c49781da66651ccf4ba9ac38,13530,itirapina,SP,3.75,4,307.6,bed_bath_table,16.333333333333332,1,100.0,65,True,2,76.9
12,12,8bd0f31cf0a614c658f6763bd02dea69,1222,sao paulo,SP,4.114285714285714,35,4455.3399999999965,furniture_decor,173.05882352941174,1,71.42857142857143,24,False,3,127.29542857142847
13,13,05a48cc8859962767935ab9087417fbb,5372,sao paulo,SP,5.0,1,42.9,garden_tools,735.0,0,100.0,38,False,1,42.9
14,14,7b8e8ec35bad4b0ef7e3963650b0a87b,88705,tubarao,SC,4.8,5,2244.28,auto,51.5,1,60.0,45,False,3,448.85600000000005
15,15,1444c08e64d55fb3c25f0f09c07ffcf2,42738,lauro de freitas,BA,1.0,1,2749.0,garden_tools,735.0,0,100.0,134,False,1,2749.0
16,16,166e8f1381e09651983c38b1f6f91c11,88780,imbituba,SC,5.0,2,78.8,unknown,26.0,1,100.0,384,True,2,39.4
17,17,e38db885400cd35c71dfd162f2c1dbcf,70740,brasilia,DF,4.5,32,2066.800000000001,bed_bath_table,117.06451612903227,1,100.0,25,False,2,64.58750000000003
18,18,d2e753bb80b7d4faa77483ed00edc8ca,45810,porto seguro,BA,3.625,16,1389.7,fashion_bags_accessories,58.4,1,93.75,114,True,2,86.85625
19,19,f9ec7093df3a7b346b7bcf7864069ca3,5138,sao paulo,SP,4.777777777777779,9,519.2,housewares,25.75,1,33.33333333333333,14,False,3,57.6888888888889
20,20,4e6015589b781adaa5ce7f1892d06bb1,11440,guaruja,SP,3.6666666666666665,3,684.0,sports_leisure,95.0,1,100.0,228,True,2,228.0
21,21,4cf490a58259286ada5ba8525ba9e84a,14910,tabatinga,SP,3.125,8,1254.2,cool_stuff,135.57142857142858,1,100.0,290,True,2,156.775
22,22,f7496d659ca9fdaf323c0aae84176632,4156,sao paulo,SP,4.592592592592593,27,5087.569999999999,furniture_decor,228.0,1,55.555555555555564,24,False,3,188.42851851851847
23,23,2ff97219cb8622eaf3cd89b7d9c09824,13320,salto,SP,4.541666666666667,96,4476.900000000003,housewares,56.252631578947366,1,44.79166666666667,15,False,3,46.634375000000034
24,24,8bd0e3abda539b9479c4b44a691be1ec,98910,tres de maio,RS,1.6923076923076923,13,596.5500000000002,health_beauty,42.91666666666666,1,100.0,246,True,2,45.888461538461556
25,25,2a1348e9addc1af5aaa619b1a3679d6b,30494,belo horizonte,MG,2.963636363636364,55,2843.0000000000023,furniture_decor,159.0,1,29.09090909090909,38,False,3,51.69090909090913
26,26,2078fe5066350e7d220c0ad3a3bbc6c1,86707,arapongas,PR,2.0,1,29.9,furniture_decor,735.0,0,100.0,165,False,1,29.9
27,27,116ccb1a1604bc88e4d234a8c23f33de,9850,sao bernardo do campo,SP,4.602739726027396,73,2004.8900000000006,auto,80.16666666666667,1,76.71232876712328,19,False,2,27.46424657534247
28,28,430315b7bb4b6e4b3c978f9dfa9b0558,4857,sao paulo,SP,3.8571428571428568,21,3118.4,housewares,52.95,1,28.57142857142857,34,False,3,148.4952380952381
29,29,406822777a0b9eb5c50e442dd4cd3ec5,18500,tatui,SP,4.25531914893617,47,3648.0800000000017,toys,81.84782608695652,1,97.87234042553192,17,False,2,77.61872340425536
30,30,4dbd95a08b31ede5c82d3f861cb1ce1a,80210,curitiba,PR,3.5,6,1304.67,books_general_interest,80.2,1,83.33333333333334,299,True,2,217.44500000000002
31,31,e9e446d01bd10a97a8ffcfc4a3a20cb2,2261,sao paulo,SP,3.5,4,60.05,perfumery,29.0,1,100.0,63,True,2,15.0125
32,32,d52cbce9845184537284a23c3bc3da0e,88495,garopaba,SC,5.0,4,75.0,stationery,9.333333333333334,1,100.0,191,True,2,18.75
33,33,d9a84e1403de8da0c3aa531d6d108ba6,3562,sao paulo,SP,4.5593220338983045,59,1425.200000000001,toys,58.32758620689656,1,44.067796610169495,12,False,3,24.155932203389845
34,34,9c690ceacd5c66731bf443ea810195cb,37650,camanducaia,MG,4.416666666666667,12,871.7999999999997,garden_tools,75.81818181818181,1,58.33333333333334,34,False,3,72.64999999999998
35,35,1f9ab4708f3056ede07124aad39a2554,17602,tupa,SP,4.075949367088608,79,13602.729999999983,baby,150.48717948717947,1,100.0,99,False,2,172.18645569620233
36,36,1961c3e1272bfeceb05d0b78b5bbfdaf,7241,guarulhos,SP,3.75,4,896.0,unknown,6.666666666666668,1,100.0,22,True,2,224.0
37,37,d3e7d37c0df9aef383f3f2a15b0dddfb,83050,sao jose dos pinhais,PR,5.0,1,161.0,kitchen_dining_laundry_garden_furniture,735.0,0,100.0,49,False,1,161.0
38,38,ec2e006556300a79a5a91e4876ab3a56,3445,sao paulo,SP,1.375,8,125.20000000000002,construction_tools_construction,52.85714285714285,1,87.5,25,False,2,15.650000000000002
39,39,b2a6d334e2833acea353624840e25a0e,4133,sao paulo,SP,4.5,26,1650.9800000000007,small_appliances,61.52,1,69.23076923076923,96,True,3,63.4992307692308
40,40,d3674f271c91f824f82d24d92011f669,72233,brasilia,DF,4.1,20,1718.3000000000006,perfumery,146.8421052631579,1,95.0,28,False,2,85.91500000000003
41,41,768de2a4fc06aacecb9a586ccc30746a,70645,brasilia,DF,4.428571428571429,14,475.5999999999999,cool_stuff,102.46153846153848,1,64.28571428571429,114,True,3,33.97142857142857
42,42,a81466620e46a6970b22ef40379fdfc9,88730,sao ludgero,SC,5.0,2,321.8,computers_accessories,2.0,1,100.0,331,True,2,160.9
43,43,5c030029b5916fed0986310385ec9009,88075,sao jose,SC,4.9,10,4164.4,housewares,21.555555555555557,1,100.0,20,False,2,416.43999999999994
44,44,c0f783394e37cd9c9d7f5f81141450fa,13416,piracicaba,SP,3.1666666666666665,6,249.4,unknown,7.0,1,100.0,270,True,2,41.56666666666667
45,45,c353f8fc0ce8344999f17d578eb69a5e,90850,porto alegre,RS,5.0,2,175.98,health_beauty,14.0,1,100.0,580,True,2,87.99
46,46,8444e55c1f13cd5c179851e5ca5ebd00,37584,congonhal,MG,3.073394495412844,109,22873.21000000002,perfumery,138.7592592592593,1,28.440366972477065,66,False,3,209.8459633027525
47,47,28a26ebce31d5918b181ede016fd693b,31950,belo horizonte,MG,5.0,1,29.9,health_beauty,735.0,0,100.0,27,False,1,29.9
48,48,41ab63a91b8b264e8c8780368bf1dd5b,31555,belo horizonte,MG,4.230769230769232,13,2571.95,small_appliances,78.66666666666667,1,46.153846153846146,59,False,3,197.84230769230768
49,49,8759e7aedd644f487315e5860962f162,9251,santo andre,SP,3.6666666666666665,3,627.0,home_appliances,27.5,1,100.0,256,True,2,209.0
50,50,e546117ed9cafbc40239c0c78635c584,4705,sao paulo,SP,4.5,2,456.0,perfumery,122.0,1,100.0,17,False,2,228.0
51,51,d71d863e5ef30d94e440c11be17dcd8f,6144,osasco,SP,3.055555555555556,36,11900.9,construction_tools_safety,70.97142857142858,1,33.33333333333333,113,True,3,330.5805555555555
52,52,0c7533c71df861ec58ad7ff999ed0e8d,13270,valinhos,SP,4.082191780821918,73,2989.300000000004,perfumery,87.47222222222223,1,100.0,43,False,2,40.949315068493206
53,53,ef990a83bbea832f36ebe81376335aa8,89214,joinville,SC,3.6590909090909087,44,4642.59,sports_leisure,77.27906976744184,1,90.9090909090909,28,False,2,105.5134090909091
54,54,41e0fa5761c886a630994a55c12087e7,11446,guaruja,SP,5.0,5,423.6,health_beauty,39.25,1,100.0,87,True,2,84.72
55,55,0747d5bb69f0586cc869d8af4c50f93e,28990,saquarema,RJ,3.466666666666667,15,346.6,perfumery,86.7857142857143,1,93.33333333333331,441,True,2,23.10666666666667
56,56,7d294cf9a6a69dc6a0c3e540fff0e039,88390,barra velha,SC,4.4,5,257.25,baby,54.25,1,100.0,39,False,2,51.45
57,57,c89cf7c468a48af70aada384e722f9e2,25730,petropolis,RJ,3.7857142857142856,14,745.0,toys,137.9230769230769,1,100.0,34,False,2,53.214285714285715
58,58,b7ba853e9551f4558440881fd3e5c815,95500,santo antonio da patrulha,RS,1.0,2,376.8,cool_stuff,2.0,1,50.0,703,True,3,188.4
59,59,13c2ed7698b3ca92dad49e849219da59,84010,ponta grossa,PR,4.4444444444444455,9,498.61,perfumery,105.75,1,100.0,38,False,2,55.40111111111111
60,60,cbbd5ae8f53de5f5097cd8217b529e24,6544,santana de parnaiba,SP,2.5,2,351.8,baby,1.0,1,100.0,574,True,2,175.9
61,61,02ecc2a19303f05e59ce133fd923fff7,9121,santo andre,SP,4.541666666666667,24,5264.190000000001,garden_tools,94.69565217391305,1,37.5,19,False,3,219.34125000000006
62,62,c013e57c075a06e5b5c48ee03c525719,13568,sao carlos,SP,4.155555555555557,45,1971.55,pet_shop,45.75,1,100.0,14,False,2,43.81222222222222
63,63,55f7a3319d80f7fdf078b8f03e6725fe,6056,osasco,SP,3.772727272727273,22,3013.779999999999,auto,17.38095238095238,1,72.72727272727273,18,True,3,136.98999999999995
64,64,2d50d6282f8aa2257819a77bfaa0efe0,14940,ibitinga,SP,3.644444444444445,45,3353.48,bed_bath_table,129.54545454545453,1,62.22222222222222,29,False,3,74.52177777777777
65,65,b7e1750c1157341d2abd0251e07c186b,5741,sao paulo,SP,4.5,4,159.6,sports_leisure,21.66666666666667,1,75.0,507,True,3,39.9
66,66,b90e891671cffd9557f33a97dc523645,83010,sao jose dos pinhais,PR,4.128205128205129,39,4449.0,health_beauty,97.81578947368419,1,69.23076923076923,17,False,3,114.07692307692308
67,67,a416b6a846a11724393025641d4edd5e,3702,sao paulo,SP,4.142857142857143,182,25769.720000000005,health_beauty,155.0331491712707,1,97.8021978021978,19,False,2,141.59186813186815
68,68,7e93a43ef30c4f03f38b393420bc753a,6429,barueri,SP,4.197058823529412,340,176431.86999999985,watches_gifts,123.41887905604722,1,92.35294117647058,58,False,0,518.917264705882
